,CODE,Subject NAME,CR,Grade
Grade 10 Term 1,ท31101,ภาษาไทยพื้นฐาน 1,1,4
,ค31103,คณิตศาสตร์พื้นฐาน 1,1.5,4
,ค31203,คณิตศาสตร์เพิ่มเติม 1,1.5,3.5
,ว31111,วิทยาการคำนวณ,1,4
,ว31141,ชีววิทยาพื้นฐาน,1.5,2.5
,ว30201,ฟิสิกส์ 1,2,3
,ว30221,เคมี 1,2,4
,ว30241,ชีววิทยา 1,0.5,2.5
,ส31101,สังคมศึกษา 1,1,4
,พ31101,สุขศึกษาและพลศึกษา 1,0.5,4
,ศ31101,ศิลปะ 1,1,4
,ง31105,การงานอาชีพ,0.5,4
,อ31101,ภาษาอังกฤษ 1,1.5,4
,อ31201,ภาษาอังกฤษเพิ่มเติม 1,1,4
,,,,
Grade 10 Term 2,ท31102,ภาษาไทยพื้นฐาน 2,1,4
,ค31104,คณิตศาสตร์พื้นฐาน 2,1.5,4
,ค31204,คณิตศาสตร์เพิ่มเติม 2,1.5,4
,ว31108,ออกแบบและเทคโนโลยี,0.5,4
,ว31121,เคมีพื้นฐาน,1.5,4
,ว30202,ฟิสิกส์ 2,2,4
,ว30222,เคมี 2,0.5,4
,ว30242,ชีววิทยา 2,2,4
,ส31102,สังคมศึกษา 2,1,4
,พ31102,สุขศึกษาและพลศึกษา 2,0.5,4
,ศ31102,ศิลปะ 2,1,4
,ง31106,การงานอาชีพ,0.5,4
,อ31102,ภาษาอังกฤษ 2,1.5,4
,อ31202,ภาษาอังกฤษเพิ่มเติม 2,1,4
,,,,
Grade 11 Term 1,ท32101,ภาษาไทยพื้นฐาน 3,1,4
,ค32103,คณิตศาสตร์พื้นฐาน 3,1.5,4
,ค32203,คณิตศาสตร์เพิ่มเติม 3,1.5,4
,ว32111,ฟิสิกส์พื้นฐาน,1.5,4
,ว30203,ฟิสิกส์ 3,0.5,4
,ว30223,เคมี 3,2,4
,ว32202,การออกแบบโครงสร้างทางกลไก,1,4
,ว32241,ชีววิทยาสำหรับวิศวกรรม 1,1,4
,ว32292,การเขียนโปรแกรมไมโครคอนโทรลเลอร์,1,4
,ส32101,สังคมศึกษา 3,1,4
,พ32101,สุขศึกษาและพลศึกษา 3,0.5,4
,ศ32101,ศิลปะ 3,1,4
,ง32105,การงานอาชีพ,0.5,4
,อ32103,ภาษาอังกฤษ 3,1.5,4
,อ32201,ภาษาอังกฤษเพิ่มเติม 3,1,4
,,,,
Grade 11 Term 2,ท32102,ภาษาไทยพื้นฐาน 4,1,4
,ค32104,คณิตศาสตร์พื้นฐาน 4,1.5,4
,ค32204,คณิตศาสตร์เพิ่มเติม 4,1.5,4
,ว30204,ฟิสิกส์ 4,2,4
,ว30224,เคมี 4,2,4
,ว32242,ชีววิทยาสำหรับวิศวกรรม 2,1,4
,ว32290,ประสบการณ์ทางวิศวกร,1,4
,ว32293,ภาษาโปรแกรม 1,1,4
,ว32295,เขียนแบบเทคนิคเบื้องต้น,1,4
,ว32296,วิทยาศาสตร์ประยุกต์ 2,1,4
,ส32103,สังคมศึกษา 4,1,4
,พ32102,สุขศึกษาและพลศึกษา 4,0.5,4
,อ32104,ภาษาอังกฤษ 4,1.5,4
,อ32202,ภาษาอังกฤษเพิ่มเติม 4,1,4
,,,,
Grade 12 Term 1,ท33101,ภาษาไทยพื้นฐาน 5,1,4
,ค33209,คณิตศาสตร์เพิ่มเติม,1.5,4
,ค33210,คณิตศาสตร์เพิ่มเติม,1.5,3.5
,ว30205,ฟิสิกส์ 5,2,4
,ว30225,เคมี 5,2,4
,ว33285,การออกแบบวงจรอิเล็กทรอนิกส์,1,4
,ว33286,โครงงานหุ่นยนต์,1,4
,ว33287,โปรแกรมคอมพิวเตอร์สำหรับหุ่นยนต์,1,4
,ส33101,ประวัติศาสตร์ 3,0.5,4
,ส33102,ศาสนาสากล,0.5,4
,ส33105,พระพุทธศาสนา 1,0.5,4
,ส33106,ประวัติศาสตร์ 1,0.5,4
,พ33101,สุขศึกษาและพลศึกษา 5,0.5,4
,ง30237,พื้นฐานงานโมเดล,1,4
,อ30273,ภาษาอังกฤษเพื่อการศึกษาต่อ 1,1.5,4
,อ33201,ภาษาอังกฤษเพิ่มเติม 5,1,4
,,,,
Grade 12 Term 2,ท33102,ภาษาไทยพื้นฐาน 6,1,3.5
,ค33211,คณิตศาสตร์เพิ่มเติม,1.5,4
,ค33212,คณิตศาสตร์เพิ่มเติม,1.5,3
,ค33225,คณิตศาสตร์ประยุกต์สำหรับวิศวกรรมศาสตร์,1,4
,ว33161,โลกและอวกาศ,1.5,4
,ว30206,ฟิสิกส์ 6,1.5,4
,ว30226,เคมี 6,1.5,4
,ว33288,โปรแกรมคอมพิวเตอร์สำหรับหุ่นยนต์ 2,1,4
,ว33292,กระบวนการคิดเชิงออกแบบ,1,4
,ส33103,ประวัติศาสตร์ 4,0.5,4
,ส33107,พระพุทธศาสนา 2,1,4
,ส33108,ประวัติศาสตร์ 2,0.5,4
,พ33102,สุขศึกษาและพลศึกษา 6,0.5,4
,พ30209,เปตอง 1,1,4
,อ30274,ภาษาอังกฤษเพื่อการศึกษาต่อ 2,1.5,4
,อ33202,ภาษาอังกฤษเพิ่มเติม 6,1,4
